feature,importance
NDMI_std,0.04301310145697628
EVI_mean,0.03924222497736959
NDWI_min,0.03842233473262851
NDVI_max,0.03630043726904593
EVI_auc,0.03441586766664168
NDVI_mean,0.03389358288213719
NDMI_mean,0.03380039805364082
NDMI_max,0.03254222054779691
NDVI_auc,0.031920027221094376
NDMI_auc,0.03148210218498623
NDMI_min,0.030982584806825305
NDWI_mean,0.03081964592089303
NDWI_max,0.028814534843372396
EVI_mean_diff,0.028685876458549205
NDMI_mean_diff,0.02864875446060672
NDWI_std,0.028630408198816383
NDWI_mean_diff,0.028603252853357703
NDVI_mean_diff,0.028582751720772945
EVI_std,0.02827254967642646
NDWI_auc,0.02811427625239619
NDVI_std,0.027988140894698046
NDVI_min,0.02796490509195756
EVI_min,0.027951697132402874
EVI_max,0.027875695262669937
NDMI_amplitude,0.027611685069243812
NDVI_amplitude,0.026007765144598214
NDWI_amplitude,0.02567147040541112
NDVI_peak_pos,0.02414593280549582
EVI_amplitude,0.023400658758702474
NDVI_peak_doy,0.022411616348639782
NDMI_peak_pos,0.017134340565994017
NDMI_peak_doy,0.01625219941682132
EVI_peak_pos,0.014620764164564008
NDWI_peak_pos,0.014123086228784673
EVI_peak_doy,0.013644842969237425
NDWI_peak_doy,0.013590197932701454
n_valid_dates,0.0044180696237437166
