,precision,recall,f1-score,support
0,0.8333333333333334,0.125,0.21739130434782608,40.0
1,0.44019933554817275,0.7220708446866485,0.5469556243550051,367.0
2,0.2659988870339455,0.283175355450237,0.27431850789096124,1688.0
3,0.17857142857142858,0.03731343283582089,0.06172839506172839,134.0
4,0.34328358208955223,0.2358974358974359,0.2796352583586626,195.0
5,0.46,0.22330097087378642,0.3006535947712418,103.0
6,0.28345250255362614,0.41387024608501116,0.3364655956350409,1341.0
7,0.33274647887323944,0.421875,0.3720472440944882,448.0
8,0.0,0.0,0.0,40.0
9,0.3333333333333333,0.02,0.03773584905660377,50.0
10,0.5434782608695652,0.23148148148148148,0.3246753246753247,108.0
11,0.7450980392156863,0.6031746031746031,0.6666666666666666,63.0
12,0.21052631578947367,0.14775725593667546,0.17364341085271318,379.0
13,0.4453125,0.3275862068965517,0.37748344370860926,174.0
14,0.45614035087719296,0.5,0.47706422018348627,52.0
15,0.43722222222222223,0.49372647427854455,0.4637595757218621,1594.0
16,0.24919093851132687,0.12145110410094637,0.1633085896076352,634.0
17,0.16666666666666666,0.017543859649122806,0.031746031746031744,57.0
18,0.20588235294117646,0.12962962962962962,0.1590909090909091,54.0
19,0.20689655172413793,0.044930875576036866,0.07382867960246095,1736.0
20,0.6956521739130435,0.25,0.367816091954023,64.0
21,0.31154381084840055,0.43368828654404645,0.3626062322946176,1033.0
22,0.43507972665148065,0.5761689291101055,0.49578195976638545,663.0
23,0.7911005434782609,0.830895469140207,0.8105098312162867,11212.0
24,0.48484848484848486,0.18604651162790697,0.2689075630252101,172.0
accuracy,0.5764474800232132,0.5764474800232132,0.5764474800232132,0.5764474800232132
macro avg,0.39422231279575004,0.29506335891899194,0.3057527961473512,22401.0
weighted avg,0.5561066593856863,0.5764474800232132,0.5562794983263489,22401.0
