accuracy,loss,val_accuracy,val_loss
0.11849888414144516,2.8942222595214844,0.34066179394721985,2.4920520782470703
0.24157366156578064,2.5271503925323486,0.25361308455467224,2.5107009410858154
0.24390345811843872,2.415869951248169,0.35159868001937866,2.1715762615203857
0.27907365560531616,2.3333351612091064,0.3689526319503784,2.169545888900757
0.29965123534202576,2.281766414642334,0.3467998504638672,2.181331157684326
0.30502232909202576,2.2427761554718018,0.3714078366756439,2.105062961578369
0.3272600471973419,2.198005199432373,0.347357839345932,2.1955466270446777
0.3355608284473419,2.156895875930786,0.3901568055152893,2.013606071472168
0.3441685140132904,2.1391804218292236,0.28530773520469666,2.326399087905884
0.3416294753551483,2.109982490539551,0.3874225914478302,2.0280003547668457
0.3502650558948517,2.0950608253479004,0.3788851201534271,2.0803885459899902
0.3555803596973419,2.0721397399902344,0.3779365122318268,1.9881188869476318
0.36266741156578064,2.042959690093994,0.3924446105957031,1.9589145183563232
0.35454797744750977,2.0341591835021973,0.3988058567047119,1.9749581813812256
0.3690708577632904,2.020920991897583,0.38937559723854065,1.9847207069396973
0.37103796005249023,2.0015242099761963,0.33357512950897217,2.1762778759002686
0.3668666183948517,1.9856843948364258,0.38334915041923523,1.9401252269744873
0.3704659640789032,1.9801025390625,0.37771329283714294,2.0128486156463623
0.37380021810531616,1.9541429281234741,0.4011494815349579,1.9450618028640747
0.3777204155921936,1.951410174369812,0.3596339523792267,2.120569944381714
0.3803989887237549,1.9349530935287476,0.39930808544158936,1.9280365705490112
0.3821428716182709,1.9177900552749634,0.40349310636520386,1.9519692659378052
0.3827148377895355,1.9120564460754395,0.4064505398273468,1.9178440570831299
0.3859793543815613,1.9132230281829834,0.4128117859363556,1.913977026939392
0.3926478922367096,1.8860594034194946,0.4147090017795563,1.9022574424743652
0.3880440890789032,1.8741254806518555,0.4112493693828583,1.8915932178497314
0.38910436630249023,1.8658416271209717,0.37324926257133484,1.982466459274292
0.38642579317092896,1.8660997152328491,0.40756654739379883,1.894554615020752
0.38405412435531616,1.8617174625396729,0.42140504717826843,1.9122915267944336
0.39524275064468384,1.8383501768112183,0.4221304655075073,1.8841133117675781
0.38942521810531616,1.839229941368103,0.40650632977485657,1.9172933101654053
0.3951869308948517,1.802599310874939,0.43407174944877625,1.8363537788391113
0.39426618814468384,1.8042082786560059,0.386250764131546,1.9833636283874512
0.38956472277641296,1.8074456453323364,0.4197310507297516,1.8392291069030762
0.3911551237106323,1.8028262853622437,0.4209028482437134,1.8283047676086426
0.39898157119750977,1.7768921852111816,0.4173874258995056,1.9469208717346191
0.3995535671710968,1.776141881942749,0.41069138050079346,1.8935011625289917
0.4000000059604645,1.7568690776824951,0.41934043169021606,1.888383388519287
0.40138113498687744,1.7512807846069336,0.4191730320453644,1.8660387992858887
0.3992327153682709,1.758780837059021,0.3970760703086853,1.9009746313095093
