split,accuracy,recall_macro,f1_weighted,f1_macro
train,0.7594152091351345,0.682971790083685,0.7564193925798308,0.6373898491903093
val,0.7014503329380644,0.350753959573046,0.7041448184198219,0.30863702646718233
test,0.6331200066926005,0.4201733179984381,0.6367547145097874,0.33796648888096625
