epoch,lr,train_loss,train_group_loss,train_acc,train_recall_macro,train_f1_weighted,train_f1_macro,val_loss,val_group_loss,val_acc,val_recall_macro,val_f1_weighted,val_f1_macro
1.0,0.001,0.4514236150979678,0.0,0.6117948913361023,0.30266445757352617,0.6112436564023387,0.27621100264571186,0.33428718374613414,0.0,0.6821125604305391,0.29293676495716264,0.6765102995269958,0.23465879420715435
2.0,0.001,0.39139361014926877,0.0,0.6439812521434287,0.36989375089126875,0.6451812032765546,0.3371084428123109,0.32647248783990607,0.0,0.7021800602024993,0.30032820368702307,0.690327312010699,0.22155132888898674
3.0,0.001,0.3701608269533424,0.0,0.6591599029582492,0.39615434420564216,0.6601281172423809,0.3647427605990169,0.313348182149909,0.0,0.7025449238347168,0.3489018901066774,0.6927882789984577,0.27414827456133534
4.0,0.001,0.3535172459463046,0.0,0.6667174738660469,0.4209312843780031,0.6686821962338128,0.3866639478323698,0.3217981454529684,0.0,0.6922375262245736,0.3103216094354116,0.693391712103999,0.24535671167042128
5.0,0.001,0.34331436768286033,0.0,0.6722046513991032,0.4308148251422293,0.6744447889417963,0.3959367598986707,0.3399902384048242,0.0,0.6792848672808538,0.334633654848468,0.688089173859994,0.24203805307467297
6.0,0.001,0.33360339136597533,0.0,0.6779839703285956,0.4555459428443967,0.6808580825621622,0.41541416163131745,0.31722110169794854,0.0,0.6704369241995805,0.30037369783399515,0.6726026916204177,0.2639176020506574
7.0,0.001,0.3244762263386659,0.0,0.6816801940835017,0.4575720062183071,0.6833111741528283,0.4172604774479209,0.31563955245037145,0.0,0.6905044239715407,0.30104023903443666,0.6926630991951439,0.2691180019114028
8.0,0.001,0.31868063612454495,0.0,0.6857066646343787,0.47380059591991497,0.68809254844866,0.431335800745693,0.3139251781202609,0.0,0.6692511173948736,0.3468766985952758,0.6787406759064973,0.28077438274420286
9.0,0.001,0.3106756278612544,0.0,0.6890599397934687,0.4894817498010411,0.6912915195683134,0.4435556339459345,0.2964476322938543,0.0,0.6917814466843017,0.3181297028532949,0.6964809070516904,0.26980758121940174
10.0,0.001,0.30482346715825553,0.0,0.6922861969541084,0.49277093848439646,0.695251558402586,0.4459959909210721,0.3009448655708791,0.0,0.7100246282951747,0.32838573023753825,0.70700740557871,0.2795553496603525
11.0,0.001,0.29883610071039546,0.0,0.6939628345336534,0.5064349862741102,0.6968661661420552,0.4578904446580549,0.31793858184982343,0.0,0.6914165830520843,0.302949353751953,0.6901679140969464,0.21931588977055022
12.0,0.001,0.2933327999380909,0.0,0.6981036212831359,0.5126838668981523,0.7006881258003309,0.4632957985184466,0.30563629105242673,0.0,0.6897746967071057,0.30122970397265303,0.696070775780105,0.2691135013412757
13.0,0.001,0.28920481818953253,0.0,0.7003899452552427,0.518840944685066,0.7025182743934061,0.4683315593972414,0.3074394518562687,0.0,0.6782814922922558,0.31551979574543915,0.6874876502975383,0.25421555213444774
14.0,0.001,0.285105336910749,0.0,0.7007837010504389,0.5247426671252113,0.7036054021712521,0.47256558493159534,0.31340058156742207,0.0,0.7072881510535437,0.31445904379859846,0.6994448730027678,0.29818962042760894
15.0,0.001,0.2790965360223404,0.0,0.7031335340217709,0.5312233421585014,0.705783022277026,0.47610206547544,0.3046286075499918,0.0,0.705098969260239,0.3363961575811595,0.7032739968917135,0.2734177401646049
16.0,0.001,0.27379373603898643,0.0,0.7062454749838052,0.5406530546164624,0.7088814032564842,0.48673883551688485,0.3192092173972465,0.0,0.6710754355559609,0.33020686531474913,0.6804821296507864,0.2515699055270997
17.0,0.001,0.27161825021533476,0.0,0.7075918657673792,0.5464812696469001,0.7097081924902746,0.4898164902651863,0.3110211720260447,0.0,0.6724436741767764,0.3254809656831626,0.6878147086612088,0.24622454371375727
18.0,0.001,0.2670193930722108,0.0,0.7081380431607158,0.5520531660721685,0.7103722187626973,0.4939979690296109,0.30820084916493823,0.0,0.709842196479066,0.33561298460208705,0.7060023009192327,0.29563320828503836
19.0,0.001,0.2634759178211316,0.0,0.708836642152193,0.5614784848597894,0.7114334955869642,0.5010656088708878,0.3278998875393981,0.0,0.6810179695338867,0.35504316682616577,0.6902819199052621,0.253692206919266
20.0,0.001,0.26023190268991253,0.0,0.7107800175284837,0.560463340222817,0.7128942388099585,0.5022706803704484,0.32631409412631696,0.0,0.6931496853051172,0.315608429410483,0.7013054927605137,0.27973720391961876
21.0,0.0005,0.23236225888536766,0.0,0.7296040848988302,0.6154692139406024,0.7315009277579491,0.5552985813144032,0.30819677228172104,0.0,0.7014503329380644,0.350753959573046,0.7041448184198219,0.30863702646718233
22.0,0.0005,0.2251987526389796,0.0,0.7334019230524965,0.6259791404972396,0.7350058581312003,0.5675269248897046,0.3144725513895378,0.0,0.6921463103165192,0.3317449404783353,0.7012973280517054,0.2679544593191447
23.0,0.0005,0.22193333888581507,0.0,0.7341640310431988,0.6348189543098967,0.7356066287644354,0.5726303913479489,0.31856188547499237,0.0,0.6951564352823132,0.3544262900754861,0.7017759404232973,0.2814356429906165
24.0,0.0005,0.21721543138362337,0.0,0.7355485272263079,0.6387468558228098,0.7371078332267028,0.577075031035162,0.3213831567610962,0.0,0.7054638328924564,0.34721459451479947,0.7059836202671875,0.29510589036731133
