date,tile,ID_PARCEL,ndvi_mean,ndvi_median,px_count,cloud_scene
2023-03-16,31TDJ,7243144,0.3687170945744195,0.36970287561416626,28467,0.000619
2023-03-16,31TDJ,1653,0.26619432879397054,0.2591093182563782,581,0.000619
2023-03-16,31TDJ,20221,0.231751588674692,0.23981747031211853,26,0.000619
2023-03-16,31TDJ,28383,0.2608547005602109,0.2578563988208771,93,0.000619
2023-03-16,31TDJ,5844888,0.34005367279052734,0.3365074694156647,50,0.000619
2023-03-16,31TDJ,65396,0.31840834410294244,0.3087206184864044,46,0.000619
2023-03-16,31TDJ,4829558,0.32446614901224774,0.31509634852409363,6,0.000619
2023-03-16,31TDJ,121706,0.13795344930299572,0.13163869082927704,142,0.000619
2023-03-16,31TDJ,136094,0.21935030392238072,0.22273781895637512,7,0.000619
2023-03-16,31TDJ,191467,0.3346521931309854,0.33289602398872375,93,0.000619
2023-03-16,31TDJ,195982,0.22596114022391184,0.21472421288490295,28,0.000619
2023-03-16,31TDJ,222438,0.2887075597589666,0.2877792418003082,11,0.000619
2023-03-16,31TDJ,236296,,,0,0.000619
2023-03-16,31TDJ,291536,0.2319735050201416,0.24847251176834106,5,0.000619
2023-03-16,31TDJ,294339,0.3066927024296352,0.32185524702072144,28,0.000619
2023-03-16,31TDJ,317518,0.1676972129128196,0.15317918360233307,121,0.000619
2023-03-16,31TDJ,328388,0.10862760110334917,0.09033642709255219,176,0.000619
2023-03-16,31TDJ,337280,0.3204910159111023,0.3204910159111023,1,0.000619
2023-03-16,31TDJ,2761755,0.27196956210666234,0.2626017928123474,45,0.000619
2023-03-16,31TDJ,9113436,0.1561649226340927,0.15804393589496613,357,0.000619
2023-03-16,31TDJ,363076,0.35860466957092285,0.36588743329048157,11,0.000619
2023-03-16,31TDJ,371243,0.20305830637613934,0.20708420872688293,60,0.000619
2023-03-16,31TDJ,374522,0.26312291622161865,0.25529468059539795,4,0.000619
2023-03-16,31TDJ,377235,0.21481826901435852,0.20790201425552368,64,0.000619
2023-03-16,31TDJ,388345,0.23195576807211715,0.24405908584594727,171,0.000619
2023-03-16,31TDJ,392733,0.3343242406845093,0.3386741876602173,12,0.000619
2023-03-16,31TDJ,392918,0.44626303280101104,0.44323641061782837,306,0.000619
2023-03-16,31TDJ,397796,0.3141090219671076,0.3176015615463257,11,0.000619
2023-03-16,31TDJ,405879,0.22545599937438965,0.22545599937438965,2,0.000619
2023-03-16,31TDJ,410113,0.291587769985199,0.2925299406051636,4,0.000619
2023-03-16,31TDJ,447976,0.28710025548934937,0.3085378408432007,8,0.000619
2023-03-16,31TDJ,451761,0.34535086154937744,0.34535086154937744,2,0.000619
2023-03-16,31TDJ,476394,0.26088759303092957,0.26088759303092957,1,0.000619
2023-03-16,31TDJ,479440,0.2527199613636938,0.24673134088516235,29,0.000619
2023-03-16,31TDJ,9216306,0.19768518720354353,0.1855388879776001,35,0.000619
2023-03-16,31TDJ,585903,0.2786714235941569,0.2786012887954712,15,0.000619
2023-03-16,31TDJ,611066,0.24467104131525214,0.2477310299873352,66,0.000619
2023-03-16,31TDJ,618161,0.1860454241434733,0.19196061789989471,15,0.000619
2023-03-16,31TDJ,633080,0.26570889353752136,0.2643812298774719,32,0.000619
2023-03-16,31TDJ,661083,0.24304625391960144,0.24304625391960144,2,0.000619
2023-03-16,31TDJ,677243,0.24275535546639115,0.23604851961135864,207,0.000619
2023-03-16,31TDJ,713299,0.17400501251220704,0.15308432281017303,50,0.000619
2023-03-16,31TDJ,729883,0.2911003657749721,0.28546762466430664,112,0.000619
2023-03-16,31TDJ,732061,0.43845402780186715,0.44422435760498047,518,0.000619
2023-03-16,31TDJ,7392446,0.13733027531550482,0.12173457443714142,182,0.000619
2023-03-16,31TDJ,796451,0.20630087368730185,0.19874125719070435,552,0.000619
2023-03-16,31TDJ,10012446,0.30547728628482457,0.30171334743499756,106,0.000619
2023-03-16,31TDJ,821260,0.19973765100751603,0.18588906526565552,56,0.000619
2023-03-16,31TDJ,10012501,0.24367693967597429,0.2170567512512207,43,0.000619
2023-03-16,31TDJ,870046,0.28443898757298786,0.28290849924087524,24,0.000619
2023-03-16,31TDJ,879595,0.3576328992843628,0.3670981526374817,10,0.000619
2023-03-16,31TDJ,882534,0.12901206053341632,0.11941391974687576,907,0.000619
2023-03-16,31TDJ,887840,0.30178777633174775,0.3084786534309387,31,0.000619
2023-03-16,31TDJ,1976898,0.2966540792713995,0.2911863327026367,46,0.000619
2023-03-16,31TDJ,898711,0.10551327153256065,0.12852896749973297,19,0.000619
2023-03-16,31TDJ,971572,0.2907038728396098,0.2921912968158722,6,0.000619
2023-03-16,31TDJ,971731,0.25422463050255406,0.25475138425827026,39,0.000619
2023-03-16,31TDJ,1024653,0.15262597672482756,0.13700565695762634,47,0.000619
2023-03-16,31TDJ,1028711,0.3521266825058881,0.34728673100471497,34,0.000619
2023-03-16,31TDJ,1057572,0.2958869669172499,0.2998960018157959,36,0.000619
2023-03-16,31TDJ,1093214,0.2811983259100663,0.2895009517669678,152,0.000619
2023-03-16,31TDJ,1102571,0.37434679667154946,0.3884948790073395,15,0.000619
2023-03-16,31TDJ,1106650,0.38058929443359374,0.38716453313827515,45,0.000619
2023-03-16,31TDJ,1183114,0.3242073366718908,0.3244345188140869,62,0.000619
2023-03-16,31TDJ,1190034,0.26499283755267106,0.2584856450557709,27,0.000619
2023-03-16,31TDJ,1214058,0.3352055867513021,0.3312302827835083,15,0.000619
2023-03-16,31TDJ,1225536,0.28760414123535155,0.28588104248046875,60,0.000619
2023-03-16,31TDJ,1280486,0.37204137166341145,0.3685756325721741,75,0.000619
2023-03-16,31TDJ,1283697,0.1550283676538712,0.14855100214481354,468,0.000619
2023-03-16,31TDJ,6155487,0.35674887233310276,0.3667733073234558,36,0.000619
2023-03-16,31TDJ,1308534,0.11362168135916352,0.10382513701915741,157,0.000619
2023-03-16,31TDJ,1309145,0.285856751834645,0.2834705114364624,34,0.000619
2023-03-16,31TDJ,1328172,0.3248419761657715,0.3290315270423889,22,0.000619
2023-03-16,31TDJ,1336958,0.3109098506879203,0.304072767496109,79,0.000619
2023-03-16,31TDJ,1349805,0.149305975158079,0.1450493186712265,299,0.000619
2023-03-16,31TDJ,1377219,0.25,0.25,1,0.000619
2023-03-16,31TDJ,1411642,0.22961128234863282,0.22178277373313904,25,0.000619
2023-03-16,31TDJ,1449133,0.2716498008141151,0.2723985016345978,26,0.000619
2023-03-16,31TDJ,1450031,0.21300328694857085,0.2023666352033615,26,0.000619
2023-03-16,31TDJ,3278155,0.24551790067464999,0.24045288562774658,101,0.000619
2023-03-16,31TDJ,1477478,0.3099830851835363,0.3112744987010956,51,0.000619
2023-03-16,31TDJ,1491579,0.2905030992296007,0.30208227038383484,180,0.000619
2023-03-16,31TDJ,1007315,0.11284990464487384,0.0896185040473938,124,0.000619
2023-03-16,31TDJ,1511183,0.2626637408607884,0.2782084345817566,19,0.000619
2023-03-16,31TDJ,1518675,0.12234788782456342,0.11714166402816772,102,0.000619
2023-03-16,31TDJ,1539924,0.27925747632980347,0.27925747632980347,1,0.000619
2023-03-16,31TDJ,1543097,0.16024267478067367,0.1453227549791336,61,0.000619
2023-03-16,31TDJ,1600035,0.27993684201627167,0.27845698595046997,74,0.000619
2023-03-16,31TDJ,10014406,0.22347776706402117,0.2029028832912445,52,0.000619
2023-03-16,31TDJ,1623262,0.20391710342899447,0.1892465502023697,31,0.000619
2023-03-16,31TDJ,1630381,0.16306682254957117,0.14703544974327087,92,0.000619
2023-03-16,31TDJ,1634385,0.2704931382210024,0.27484965324401855,31,0.000619
2023-03-16,31TDJ,1647243,0.27558523416519165,0.24897828698158264,8,0.000619
2023-03-16,31TDJ,1697254,0.3188600738843282,0.31509527564048767,3,0.000619
2023-03-16,31TDJ,1700909,0.2774559407739595,0.2755039632320404,217,0.000619
2023-03-16,31TDJ,8911575,0.18904116703913762,0.18295502662658691,130,0.000619
2023-03-16,31TDJ,1813179,0.35065587361653644,0.358018159866333,216,0.000619
2023-03-16,31TDJ,1841474,0.3264145851135254,0.32780084013938904,11,0.000619
2023-03-16,31TDJ,1853155,0.28948183620677276,0.28659290075302124,34,0.000619
2023-03-16,31TDJ,1869160,0.28569348041827863,0.28174489736557007,52,0.000619
2023-03-16,31TDJ,1903789,0.19183054472270764,0.20247933268547058,95,0.000619
2023-03-16,31TDJ,1905957,0.18660067637032324,0.15923567116260529,109,0.000619
